,alwaysCooperate,alwaysDefect,detective,ftft,grimTrigger,joss,random,simpleton,titForTat
alwaysCooperate,,0.0,0.041474654377880185,3.0,3.0,2.6930232558139533,1.430232558139535,3.0,3.0
alwaysDefect,5.0,,1.0558139534883721,1.0390243902439025,1.015209125475285,1.0156862745098039,3.0483091787439616,3.0,1.0176991150442478
detective,4.972350230414746,0.986046511627907,,1.0728744939271255,1.0136054421768708,1.2358490566037736,2.3009708737864076,2.0,2.9964028776978417
ftft,3.0,0.9902439024390244,1.0121457489878543,,3.0,2.700440528634361,1.9209302325581394,3.0,3.0
grimTrigger,3.0,0.9961977186311787,1.030612244897959,3.0,,1.0378006872852235,2.9437229437229435,3.0,3.0
joss,3.2046511627906975,0.996078431372549,1.259433962264151,3.185022026431718,1.0378006872852235,,2.36,2.07,1.3316831683168318
random,4.046511627906977,0.48792270531400966,2.3009708737864076,3.1767441860465118,0.5411255411255411,2.085,,2.34468085106383,2.198019801980198
simpleton,3.0,0.5,2.0197628458498023,3.0,3.0,1.945,2.068085106382979,,3.0
titForTat,3.0,0.995575221238938,2.9964028776978417,3.0,3.0,1.306930693069307,2.1732673267326734,3.0,
